,user_id,last_seen,gender,age_group,level,start_date
1,1000-0022-5898-FAKE,16/07/2015,FEMALE,35-39,1,03/07/2015
2,1000-0002-2848-FAKE,22/07/2015,FEMALE,40-49,87,09/10/2014
3,1000-0022-4470-FAKE,02/08/2015,FEMALE,25-29,3,30/06/2015
4,1000-0026-5723-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
5,1000-0022-8714-FAKE,12/08/2015,FEMALE,13-17,6,07/07/2015
6,1000-0026-1123-FAKE,14/08/2015,FEMALE,13-17,1,14/08/2015
7,1000-0026-3002-FAKE,15/08/2015,FEMALE,50-64,1,15/08/2015
8,1000-0026-4168-FAKE,16/08/2015,MALE,18-24,1,16/08/2015
9,1000-0026-1302-FAKE,18/08/2015,FEMALE,18-24,1,14/08/2015
10,1000-0026-2609-FAKE,15/08/2015,MALE,35-39,1,15/08/2015
11,1000-0026-2809-FAKE,15/08/2015,MALE,18-24,1,15/08/2015
12,1000-0026-3096-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
13,1000-0026-1396-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
14,1000-0026-5796-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
15,1000-0026-5996-FAKE,18/08/2015,FEMALE,18-24,1,18/08/2015
16,1000-0026-5775-FAKE,18/08/2015,FEMALE,25-29,1,18/08/2015
17,1000-0022-2714-FAKE,17/07/2015,FEMALE,18-24,5,27/06/2015
18,1000-0022-7514-FAKE,03/08/2015,FEMALE,25-29,11,05/07/2015
19,1000-0026-4575-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
20,1000-0026-1111-FAKE,14/08/2015,FEMALE,35-39,1,14/08/2015
21,1000-0016-9073-FAKE,19/07/2015,FEMALE,18-24,14,07/04/2015
22,1000-0016-2994-FAKE,03/08/2015,FEMALE,40-49,34,29/03/2015
23,1000-0016-7594-FAKE,18/08/2015,FEMALE,30-34,41,05/04/2015
24,1000-0022-4177-FAKE,18/08/2015,FEMALE,40-49,9,30/06/2015
25,1000-0006-1170-FAKE,02/08/2015,FEMALE,25-29,81,10/11/2014
26,1000-0026-1354-FAKE,14/08/2015,FEMALE,25-29,1,14/08/2015
27,1000-0026-5954-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
28,1000-0026-2933-FAKE,15/08/2015,FEMALE,25-29,1,15/08/2015
29,1000-0026-5833-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
30,1000-0022-8980-FAKE,19/07/2015,FEMALE,25-29,2,08/07/2015
31,1000-0022-8880-FAKE,17/07/2015,FEMALE,30-34,3,07/07/2015
