"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-25 01:00:00",32863,-5.661,0.325,-1.06,0.216,358.5,4.374,411.1,1.988,21.11,0.393,-4.602,0.253,-52.66,2.682,0.186,0.033,352.8,4.576,410.1,1.996,-57.26,2.857,18.66,0.353,8.83,0.856,0,0.007,23.8381
"2017-07-25 02:00:00",32864,-5.159,0.492,-0.724,0.317,356.2,1.053,407.3,0.995,20.16,0.349,-4.435,0.361,-51.18,0.897,0.137,0.06,351,0.82,406.6,1.084,-55.62,1.034,17.98,0.178,8.37,0.208,0.001,0.007,24.23668
"2017-07-25 03:00:00",32865,-3.004,1.247,-0.328,0.133,371.7,17.16,406.9,2.032,19.31,0.218,-2.676,1.168,-35.14,15.31,0.118,0.043,368.7,18.38,406.5,2.096,-37.82,16.46,17.9,0.363,11.34,3.302,0.467,0.324,1166.863
"2017-07-25 04:00:00",32866,25.02,17.44,2.561,2.016,369.6,15.5,408,1.872,18.55,0.881,22.46,15.43,-38.46,13.78,"NAN","NAN",394.6,13.79,410.6,1.228,-16,12.65,18.11,0.334,10.94,2.969,28.58,42.65,153545
"2017-07-25 05:00:00",32867,80.1,15.58,8.32,1.445,379.3,9.15,411.4,0.832,18.01,0.117,71.8,14.15,-32.18,9.09,0.104,0.003,459.4,8.9,419.8,1.837,39.62,7.188,18.72,0.148,12.82,1.722,31.36,147.2,530080.6
"2017-07-25 06:00:00",32868,101.3,14.1,10.3,1.385,389,3.672,413.1,0.497,17.93,0.079,91,12.73,-24.08,3.484,0.102,0.002,490.3,11.71,423.4,1.458,66.96,10.33,19.01,0.088,14.65,0.68,27.71,197.2,710098.5
"2017-07-25 07:00:00",32869,110.6,53.41,11.71,5.654,392.8,2.303,414.3,1.618,17.59,0.118,98.9,47.76,-21.46,2.951,0.106,0.005,503.4,51.88,426,6.946,77.42,44.99,19.22,0.285,15.36,0.424,99.6,221,795453.7
"2017-07-25 08:00:00",32870,193.6,111.3,20.42,11.51,389.9,4.191,419.9,6.211,17.91,0.339,173.2,99.8,-29.92,9.91,0.107,0.004,583.5,107.3,440.3,17.24,143.3,90.3,20.19,1.084,14.82,0.776,211.4,384.1,1382922
