"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-05-01 01:00:00",30823,-5.314,0.258,-0.146,0.09,262.9,0.545,333.9,0.757,6.822,0.089,-5.168,0.189,-70.95,0.306,0.027,0.016,257.6,0.735,333.7,0.832,-76.12,0.192,3.864,0.157,-12.2,0.135,0.001,0.006,23.38295
"2017-05-01 02:00:00",30824,-5.999,0.231,-0.388,0.095,261.7,0.288,330.4,0.994,6.52,0.145,-5.612,0.19,-68.66,0.755,0.064,0.014,255.7,0.44,330,1.056,-74.27,0.77,3.137,0.208,-12.49,0.072,0,0.007,23.79674
"2017-05-01 03:00:00",30825,-5.667,0.427,-0.374,0.098,261.1,0.535,328.1,0.247,5.98,0.211,-5.293,0.37,-66.97,0.621,0.066,0.014,255.4,0.399,327.7,0.258,-72.26,0.432,2.649,0.052,-12.65,0.134,0.17,0.093,334.9097
"2017-05-01 04:00:00",30826,7.856,12.95,1.047,1.414,261.2,2.032,328,1.011,5.434,0.503,6.809,11.54,-66.71,1.474,"NAN","NAN",269.1,14.24,329,2.333,-59.9,11.94,2.626,0.212,-12.62,0.504,18.9,22.44,80780.93
"2017-05-01 05:00:00",30827,113.7,62.38,10.72,5.105,272.1,15.43,334.4,2.71,4.151,0.274,102.9,57.39,-62.32,17.09,0.1,0.014,385.8,52.96,345.2,7.652,40.63,45.67,3.977,0.561,-10.02,3.664,92.4,177,637146.4
"2017-05-01 06:00:00",30828,314.7,68.27,29.18,6.277,258.1,1.246,347.8,4.843,5.643,0.522,285.5,62.14,-89.7,4.74,0.093,0.007,572.7,68.34,376.9,11.03,195.8,57.69,6.695,0.974,-13.41,0.313,104.7,500.8,1803020
"2017-05-01 07:00:00",30829,477,107.2,47.18,10.15,264.7,2.784,368.2,5.993,7.662,0.541,429.8,97.7,-103.6,3.96,0.1,0.01,741.6,107.8,415.4,13.71,326.2,96.3,10.72,1.158,-11.77,0.688,162.5,773.8,2785804
"2017-05-01 08:00:00",30830,554.8,245.6,57.33,24.84,283.9,7.99,383.8,9.6,9.24,0.715,497.5,221.4,-99.9,10.11,0.105,0.011,839,247.1,441.1,32.1,397.6,216.9,13.66,1.786,-7.165,1.869,386.3,924,3324613
