"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-05-30 01:00:00",31519,-5.387,0.443,-0.697,0.301,348,2.982,408.2,2.618,20.81,0.428,-4.689,0.174,-60.23,0.634,0.126,0.046,342.6,2.98,407.5,2.575,-64.92,0.727,18.14,0.466,6.739,0.598,0.001,0.006,21.30982
"2017-05-30 02:00:00",31520,-5.424,0.247,-0.63,0.297,342.9,0.841,402.3,1.4,19.96,0.239,-4.794,0.194,-59.4,0.671,0.115,0.051,337.5,0.946,401.7,1.514,-64.2,0.689,17.08,0.252,5.722,0.171,0.016,0.016,57.1249
"2017-05-30 03:00:00",31521,-1.934,3.076,-0.259,0.262,341.3,0.39,398,1.102,19.14,0.219,-1.675,2.923,-56.74,0.961,"NAN","NAN",339.3,2.979,397.7,1.005,-58.42,3.809,16.3,0.2,5.382,0.08,6.77,6.173,22224.36
"2017-05-30 04:00:00",31522,52.84,35.09,4.225,2.871,340.3,0.711,397.9,1.917,17.62,0.645,48.61,32.25,-57.63,2.227,0.072,0.024,393.1,34.7,402.1,4.661,-9.01,30.06,16.29,0.348,5.184,0.145,52.5,96.1,345943.4
"2017-05-30 05:00:00",31523,141.2,26.95,12.75,2.083,363,13.07,413.9,5.656,19,0.721,128.4,25.06,-50.88,7.651,0.091,0.007,504.2,23.2,426.7,5.947,77.53,21.38,19.15,1.003,9.69,2.567,34.75,246.5,887237.9
"2017-05-30 06:00:00",31524,289.5,151,28.13,14.32,354.5,7.315,430.5,12.77,20.47,1.299,261.3,136.7,-76.01,9.51,0.098,0.004,644,153.3,458.7,25.73,185.3,128.5,22.02,2.176,8.04,1.443,222.8,451,1623507
"2017-05-30 07:00:00",31525,291.6,74.13,31.18,7.38,384.9,7.111,452.6,2.505,22.75,0.153,260.4,66.8,-67.62,6.591,0.107,0.003,676.5,70.71,483.7,8.82,192.8,62.19,25.75,0.414,13.88,1.338,118.8,522.6,1881362
"2017-05-30 08:00:00",31526,578.5,176.9,60.75,18.68,367.1,7.643,472.4,15.07,24.16,0.974,517.7,158.3,-105.3,19.93,0.105,0.002,946,171.9,533.1,32.89,412.4,139.9,28.94,2.411,10.49,1.462,322,1004,3613017
